Years;Cluster Id;Cluster generic legend;Cluster specific legend;Terms id;Pseudo-Inclusion;Cluster Size;Density;Number of fathers;Number of sons 
291 304;5467;2119;1958;477 717 1958 2119;1;1;1;1;0 
291 304;5482;75;2141;75 81 231 2141;1;1;1;0;1 
291 304;5507;1850;1379;416 1106 1379 1850 2122 2166;1;1;1;0;1 
291 304;5527;121;2184;121 179 730 2184;1;1;1;0;1 
291 304;5567;2250;507;507 1316 2175 2250;1;1;1;0;2 
291 304;5573;2251;1658;1437 1658 1660 2251;1;1;1;0;1 
284 297;3681;20;1189;20 457 1189 1386;1;1;1;2;1 
284 297;3747;99;1253;99 491 857 1253;1;1;1;1;1 
284 297;3752;102;252;102 252 1039 1235;1;1;1;1;1 
284 297;3772;406;111;111 131 406 696;1;1;1;1;0 
284 297;3925;20;999;20 342 999 1293 1386 1583;1;1;1;2;0 
284 297;3994;1964;1958;432 1896 1958 1964 1992;1;1;1;1;0 
284 297;4013;1386;1583;457 656 1386 1583;1;1;1;1;0 
284 297;4040;484;252;252 484 564 939 1034 1235 1454 1479;1;1;1;2;0 
284 297;4041;484;252;252 484 564 1034 1039 1235 1454 1479;1;1;1;2;0 
284 297;4089;554;1316;507 554 1316 1752 2129;1;1;1;1;1 
284 297;4116;574;1374;574 707 1166 1374;1;1;1;1;1 
284 297;4163;640;1316;554 640 1316 1752 2129;1;1;1;1;0 
284 297;4170;647;2237;24 647 1985 2004 2237;1;1;1;2;2 
284 297;4204;704;1569;704 1024 1115 1569 2203;1;1;1;1;1 
284 297;4238;745;1354;734 745 1354 1732;1;1;1;1;0 
284 297;4264;763;252;252 484 564 763 1235 1454;1;1;1;2;0 
284 297;4292;808;442;442 446 521 808 1398 1416 1494 1513 1695 2036 2261;1;1;1;1;0 
284 297;4322;1990;854;650 854 1951 1990;1;1;1;1;0 
284 297;4331;855;1457;855 1255 1457 1653;1;1;1;0;1 
284 297;4391;951;765;65 765 850 951;1;1;1;1;0 
284 297;4468;1051;252;252 484 1051 1235 1479;1;1;1;2;0 
284 297;4537;2101;1827;1131 1180 1827 2101;1;1;1;1;1 
284 297;4540;1134;1441;907 1134 1441 2181;1;1;1;1;1 
284 297;4604;1240;206;206 988 1240 1837;1;1;1;1;1 
284 297;4648;1278;671;144 671 1278 1759;1;1;1;1;1 
284 297;4673;406;663;406 548 663 1301;1;1;1;1;0 
284 297;4733;2003;414;24 414 1397 1660 1875 1876 1985 2003;1;1;1;1;2 
284 297;4782;1444;743;743 1444 1726 2047;1;1;1;1;0 
284 297;4785;745;717;477 717 745 1354 1444 2119;1;1;1;1;0 
284 297;4797;1454;252;252 564 939 1034 1039 1235 1454;1;1;1;2;1 
284 297;4810;1595;766;123 236 313 335 406 485 517 539 766 1071 1232 1461 1595 1599 1684 1720 1891 2015 2080 2224;1;1;1;2;1 
284 297;4857;1527;846;658 716 846 1527 1807;1;1;1;1;1 
284 297;4926;325;240;240 325 1653 2031 2229;1;1;1;1;0 
284 297;4969;1718;206;206 988 1718 1837;1;1;1;1;1 
284 297;4974;1034;252;252 564 939 1034 1039 1235 1720;1;1;1;2;1 
284 297;4976;1722;67;67 109 492 1722;1;1;1;2;2 
284 297;4989;1749;1701;1231 1684 1701 1749;1;1;1;1;1 
284 297;5005;1235;988;988 1039 1235 1774;1;1;1;1;1 
284 297;5039;1804;1165;278 1165 1675 1804;1;1;1;1;1 
284 297;5081;531;1;1 531 1771 1874;1;1;1;0;1 
284 297;5120;1914;1005;1005 1193 1719 1914;1;1;1;1;0 
284 297;5168;745;1863;745 1732 1863 1958 1964;1;1;1;1;1 
284 297;5294;1444;1354;717 734 1354 1444 2119;1;1;1;1;0 
284 297;5296;1444;1958;717 1444 1958 2119;1;1;1;1;2 
284 297;5434;2280;1013;574 1013 1988 2280;1;1;1;1;1 
277 290;3797;20;171;20 171 457 1386;1;1;1;1;1 
277 290;3812;42;1749;42 1231 1701 1749;1;1;1;0;2 
277 290;3826;49;1228;49 305 1228 1945;1;1;1;1;0 
277 290;3873;99;2257;99 745 1354 2257;1;1;1;1;0 
277 290;3916;1278;376;144 256 376 1278;1;1;1;1;1 
277 290;4038;1210;273;63 147 261 273 307 363 373 431 449 494 622 645 713 813 962 1025 1210 1345 1392 1538 1767 1818 1821 1826 1999;1;1;1;2;0 
277 290;4065;2166;2225;346 939 1412 1492 1860 2148 2166 2225;1;1;1;1;0 
277 290;4070;349;696;349 515 696 1780 1920;1;1;1;1;0 
277 290;4156;451;1189;171 451 1189 1928;1;1;1;1;0 
277 290;4157;1914;959;454 959 1005 1081 1152 1193 1470 1719 1914;1;1;1;1;1 
277 290;4189;763;1720;252 484 564 763 1720;1;1;1;2;3 
277 290;4202;307;273;143 216 273 307 449 510 813 998 1000 1025 1092 1210 1345 1392 1601 1767 1818 1989 2008 2170 2173;1;1;1;2;0 
277 290;4210;518;611;518 611 728 1321;1;1;1;1;0 
